0,1552733,142274,231345,1248365
1,1451583,142130,234975,1144138
2,1432009,142116,234562,1125101
3,1457125,141439,231950,1153855
4,1464858,140654,235033,1157288
5,1452329,141981,237037,1141913
6,1459307,141637,232366,1153784
7,1496564,141101,239732,1184864
8,1512226,141778,240630,1200050
9,1425550,142389,235913,1116939
10,1404923,142817,237284,1094001
11,1423346,142198,223706,1127664
12,1476518,140911,237868,1166931
13,1453533,140550,238209,1142462
14,1500094,140754,231183,1197117
15,1566916,141051,227604,1267227
16,1537321,140918,226937,1237260
17,1552929,140176,233761,1247832
18,1485936,139437,236966,1176423
19,1532630,140728,236019,1225514
20,1469998,140511,233258,1165579
21,1566173,140682,237986,1256310
22,1554695,140241,233015,1250711
23,1446502,140315,228558,1146782
24,2583608,139062,225403,2288510
25,6799479,137166,210547,6522517
26,6716050,136948,204770,6444029
27,4769182,136227,212200,4489639
28,1464400,138773,225855,1164478
29,1421943,139915,230602,1119149
30,1447628,139624,220176,1153944
31,1426011,139838,192649,1162551
32,1391435,138833,184625,1137440
33,1494315,139329,183109,1240947
34,1476454,139404,181382,1223179
35,1415902,139669,180335,1166044
36,1414667,140075,181758,1163788
37,1401282,140178,182406,1149409
38,1398490,140207,182353,1144765
39,1452591,140963,187626,1192805
40,1533986,140342,188648,1272856
41,1462621,138528,180478,1211736
42,1469459,137883,178816,1220343
43,1518644,138168,179876,1266974
44,1535044,137556,173529,1291162
45,1467737,138219,180787,1216253
46,1474545,138465,175143,1229468
47,1488484,139196,179400,1236020
48,1451737,137771,178151,1201304
49,1483175,138101,182130,1227941
50,1559257,138232,180906,1304207
51,1490533,138610,186758,1231511
52,1474628,138719,187750,1215525
53,1453532,137615,179682,1202240
54,1449101,137439,184508,1191292
55,1481156,137631,179971,1230825
56,1446907,136872,180548,1194025
57,1502641,136509,181007,1249914
58,1668525,135136,174922,1419974
59,1813901,135392,174238,1567113
