0,2336343,88789,107929,2130163
1,2316701,88362,110011,2116856
2,2268855,88197,105560,2044792
3,2235134,87959,104864,2012345
4,2202584,87884,109047,1972064
5,2228173,87448,107281,2001680
6,2220330,87102,105777,1994283
7,2197498,85862,99908,1980067
8,2181336,86096,101060,1959437
9,2211459,85400,98744,1991248
10,1182783,85240,104189,954369
11,1015982,84731,98646,795343
12,989124,84577,98435,770155
13,1190720,84046,93739,975083
14,1095905,83494,94721,869523
15,1010420,83354,93862,804223
16,983923,82260,92546,783673
17,970804,82209,91422,771565
18,1071976,81677,90345,872011
19,1264033,82774,92162,1062529
20,1216063,82915,93337,994746
21,1304874,81943,91809,1069734
22,1294325,82552,90758,1055182
23,1249029,81774,89855,1030484
24,1275724,81292,89110,1073228
25,1215271,81434,90725,1011348
26,1234602,80300,87656,1032524
27,1638920,80337,88368,1437944
28,1517030,80305,86717,1316242
29,1513946,80529,89569,1309033
30,1496832,80591,89931,1292931
31,1478817,80332,88890,1297106
32,1449137,80254,92780,1280731
33,1581544,80411,91547,1417755
34,1783281,80600,91801,1618435
35,1823273,80336,95261,1653561
36,1847181,80429,93839,1679009
37,1604819,80690,94207,1439837
38,1372752,80508,94916,1203705
39,1224343,80293,91330,1061640
40,1351612,80466,91349,1185402
41,1292311,80043,91867,1126258
42,1287588,79758,91087,1105361
43,1288818,79942,94206,1088923
44,1307372,79896,93251,1123223
45,1321357,79757,93229,1135898
46,1304880,80218,94550,1115211
47,1309652,79761,96878,1121932
48,1397146,79897,96008,1222328
49,1367317,79939,95802,1197024
50,1395255,79530,94296,1226884
51,1370539,78908,94287,1202246
52,1245213,79039,92179,1079429
53,1217170,79243,94475,1050529
54,1210818,79287,95723,1026734
55,1183632,79623,97809,1008640
56,1158565,78853,96491,982316
57,1174325,78782,96339,998377
58,1203674,79060,96919,1028248
59,1170395,78966,94765,998443
